Country Name,Country Code,year,borrow_any,fin_account,distance,lack_doc,lack_trust,save_fin_acc,credit_c_purch,mm_account,save_any
Italy,ITA,2011,,0.7101000000000001,,,,0.1548,,,
Italy,ITA,2014,0.6097,0.8733,,,,0.3403,0.32299999999999995,,0.5657
Italy,ITA,2017,0.5599000000000001,0.9379000000000001,,,,0.45299999999999996,0.3786,,0.6242
Italy,ITA,2021,0.589,0.9729000000000001,,,,0.48869999999999997,0.4959,,0.7273999999999999
Jamaica,JAM,2011,,0.7099,,,,0.3041,,,
Jamaica,JAM,2014,0.4904,0.7835,,,,0.2969,0.0984,0.0092,0.7426999999999999
Jamaica,JAM,2017,,,,,,,,,
Jamaica,JAM,2021,0.3182,0.7267,0.0852,0.11960000000000001,0.1139,0.2404,0.057800000000000004,0.1266,0.6349
Japan,JPN,2011,,0.9642000000000001,,,,0.5133,,,
Japan,JPN,2014,0.5943,0.9665,,,,0.6042000000000001,0.5211,,0.7193999999999999
Japan,JPN,2017,0.5656,0.9823999999999999,,,,0.6446,0.5382,,0.7774
Japan,JPN,2021,0.6422,0.9849,,,,0.6383,0.5979,,0.8194
Jordan,JOR,2011,,0.2547,,,,0.08259999999999999,,,
Jordan,JOR,2014,0.3311,0.2462,,,,0.0375,,0.004699999999999999,0.2922
Jordan,JOR,2017,0.4768,0.4208,,,,0.1011,,0.0106,0.4517
Jordan,JOR,2021,0.5353,0.4335,0.0519,0.057800000000000004,0.0678,0.04,,0.1066,0.2414
Kazakhstan,KAZ,2011,,0.4211,,,,0.0674,,,
Kazakhstan,KAZ,2014,0.45020000000000004,0.5390999999999999,,,,0.0805,0.0521,,0.3034
Kazakhstan,KAZ,2017,0.4559,0.5870000000000001,,,,0.1387,0.168,,0.3586
Kazakhstan,KAZ,2021,0.4739,0.8111,0.09789999999999999,0.0369,0.0716,0.1911,0.18289999999999998,,0.4018
Kenya,KEN,2011,,0.42340000000000005,,,,0.2328,,,
Kenya,KEN,2014,0.794,0.5521,,,,0.3018,,0.5839,0.7606
Kenya,KEN,2017,0.6437,0.5572,,,,0.26780000000000004,,0.7293000000000001,0.7031999999999999
Kenya,KEN,2021,0.7615999999999999,0.5057,0.1641,0.20929999999999999,0.132,0.2145,,0.6866,0.6677
"Korea, Rep.",KOR,2011,,0.9305,,,,0.4694,,,
"Korea, Rep.",KOR,2014,0.6788,0.9436,,,,0.5271,0.5388000000000001,,0.7392
"Korea, Rep.",KOR,2017,0.7263,0.9484999999999999,,,,0.5531,0.615,,0.6883
"Korea, Rep.",KOR,2021,0.7465999999999999,0.9867,,,,0.5947,0.6577,,0.6973
Kosovo,XKX,2011,,0.44310000000000005,,,,0.0495,,,
Kosovo,XKX,2014,0.406,0.478,,,,0.0721,0.0941,,0.35609999999999997
Kosovo,XKX,2017,0.4422,0.5227,,,,0.087,0.08039999999999999,,0.3935
Kosovo,XKX,2021,0.4075,0.5801,0.0723,0.0738,0.0647,0.1033,0.0906,,0.3821
Kuwait,KWT,2011,,0.8676999999999999,,,,0.4035,,,
Kuwait,KWT,2014,0.638,0.7291,,,,0.255,0.22769999999999999,,0.6153
Kuwait,KWT,2017,0.46090000000000003,0.7984,,,,0.2661,0.20120000000000002,,0.47090000000000004
Kuwait,KWT,2021,,,,,,,,,
Kyrgyz Republic,KGZ,2011,,0.037599999999999995,,,,0.0089,,,
Kyrgyz Republic,KGZ,2014,0.3821,0.18469999999999998,,,,0.048600000000000004,,,0.36200000000000004
Kyrgyz Republic,KGZ,2017,0.3218,0.38280000000000003,,,,0.029900000000000003,,0.0311,0.237
Kyrgyz Republic,KGZ,2021,0.42969999999999997,0.4097,0.2503,0.1389,0.1524,0.0629,,0.1143,0.324
Lao PDR,LAO,2011,,0.2677,,,,0.1936,,,
Lao PDR,LAO,2014,,,,,,,,,
Lao PDR,LAO,2017,0.4236,0.29059999999999997,,,,0.1802,,,0.6015999999999999
Lao PDR,LAO,2021,0.4165,0.3732,0.2876,0.26789999999999997,0.10980000000000001,0.1705,,0.0548,0.5640999999999999
Latvia,LVA,2011,,0.8966,,,,0.1332,,,
Latvia,LVA,2014,0.4636,0.9022,,,,0.2531,0.1838,,0.4425
Latvia,LVA,2017,0.37270000000000003,0.9322,,,,0.2751,0.1321,,0.5379999999999999
Latvia,LVA,2021,0.3892,0.9662000000000001,,,,0.42869999999999997,0.1336,,0.6955
Lebanon,LBN,2011,,0.3703,,,,0.1711,,,
