"CountryCode","SeriesCode","DESCRIPTION",
"OED","fin22c.a.1","Only high-income countries are covered.",
"OED","fin26.t.a.4","Only high-income countries are covered.",
"OED","fin34c.14.a","Only high-income countries are covered.",
"OED","fin28.t.a.7","Only high-income countries are covered.",
"OED","fin34by.t.a","Only high-income countries are covered.",
"OED","fin15.t.a","Only high-income countries are covered.",
"OED","fin2.t.a.6","Only high-income countries are covered.",
"OED","fin30.t.a.3","Only high-income countries are covered.",
"OED","fin14b.a.1","Only high-income countries are covered.",
"OED","fin36n.t.a.s","Only high-income countries are covered.",
"OED","fin7.t.a.9","Only high-income countries are covered.",
"OED","account.t.d","Only high-income countries are covered.",
"OED","fin18.t.d.9","Only high-income countries are covered.",
"OED","fin25c.a.s.11","Only high-income countries are covered.",
"OED","fin46.a.7","Only high-income countries are covered.",
"OED","fin14b.a.5","Only high-income countries are covered.",
"OED","fin21.t.a.6","Only high-income countries are covered.",
"OED","fin22a.t.d","Only high-income countries are covered.",
"OED","fin24a.t.a","Only high-income countries are covered.",
"OED","fin42.t.a.1","Only high-income countries are covered.",
"OED","fing2p.39a.t.d.s","Only high-income countries are covered.",
"OED","fin1.t.a.4","Only high-income countries are covered.",
"OED","fin14a.a.6","Only high-income countries are covered.",
"OED","fin22a.t.a.6","Only high-income countries are covered.",
"OED","fin25a.t.a.s.4","Only high-income countries are covered.",
"OED","fin43a.t.d","Only high-income countries are covered.",
"OED","fin65e.11.a.5","Only high-income countries are covered.",
"OED","fin17b.t.a.7","Only high-income countries are covered.",
"OED","fin28.t.a.1","Only high-income countries are covered.",
"OED","fin21b.t.14.a.9","Only high-income countries are covered.",
"OED","fin25b.t.a.s","Only high-income countries are covered.",
"OED","fin17a.t.a.7","Only high-income countries are covered.",
"OED","fin31a.t.a.s","Only high-income countries are covered.",
"OED","g20.t.8","Only high-income countries are covered.",
"OED","g20.t.receive.9","Only high-income countries are covered.",
"OED","fin22a.t.a.4","Only high-income countries are covered.",
"OED","fin23.t.d.6","Only high-income countries are covered.",
"OED","fin23.t.d.8","Only high-income countries are covered.",
"OED","fin22a.14.a.7","Only high-income countries are covered.",
"OED","fin24b.t.a","Only high-income countries are covered.",
"OED","fin43c1.t.a","Only high-income countries are covered.",
"OED","fin7.t.a.2","Only high-income countries are covered.",
"OED","fin2.t.a","Only high-income countries are covered.",
"OED","fin29a.t.d.s","Only high-income countries are covered.",
"OED","fin32.t.a.11","Only high-income countries are covered.",
"OED","fin5.d.9","Only high-income countries are covered.",
"OED","fin22a.t.d.10","Only high-income countries are covered.",
"OED","fin25d.a.s.9","Only high-income countries are covered.",
"OED","fin42.t.a.6","Only high-income countries are covered.",
"OED","fin47b.t","Only high-income countries are covered.",
"OED","fin20b.t.a","Only high-income countries are covered.",
"OED","fin33y.t.a.6","Only high-income countries are covered.",
"OED","fin32.t.a.4","Only high-income countries are covered.",
"OED","fin33n.t.a.9","Only high-income countries are covered.",
"OED","fin16.t.a.7","Only high-income countries are covered.",
"OED","fin25b.t.a.s.6","Only high-income countries are covered.",
"OED","fin24a.t.a.8","Only high-income countries are covered.",
"OED","fin9.t.d1","Only high-income countries are covered.",
"OED","g20.t.receive.4","Only high-income countries are covered.",
"OED","fin14a.a.4","Only high-income countries are covered.",
"OED","fin22a.t.a.7","Only high-income countries are covered.",
"OED","fin34c.14.a.s","Only high-income countries are covered.",
"OED","fin11d.a.s","Only high-income countries are covered.",
"OED","fin20b.t.a.4","Only high-income countries are covered.",
"OED","fin33.14.a.3","Only high-income countries are covered.",
"OED","fin34b.14.a.s","Only high-income countries are covered.",
"OED","fin19.t.a.4","Only high-income countries are covered.",
"OED","fin22b.t.a.5","Only high-income countries are covered.",
"OED","fin31a.t.d.s","Only high-income countries are covered.",
"OED","fin34an.t.a","Only high-income countries are covered.",
"OED","fin38.a.5","Only high-income countries are covered.",
"OED","fin19.t.a.10","Only high-income countries are covered.",
"OED","fin29c2.t.a","Only high-income countries are covered.",
"OED","account.t.d.2","Only high-income countries are covered.",
"OED","fin14abca.t.d.7","Only high-income countries are covered.",
"OED","fin21b.t.14.a.5","Only high-income countries are covered.",
"OED","fin2.t.a.4","Only high-income countries are covered.",
"OED","fin25a.t.a.s.11","Only high-income countries are covered.",
"OED","fin31c.t.a.s","Only high-income countries are covered.",
"OED","fin16.t.a.5","Only high-income countries are covered.",
"OED","fin15.t.a.8","Only high-income countries are covered.",
"OED","fin24a.t.a.11","Only high-income countries are covered.",
"OED","fin42.t.a","Only high-income countries are covered.",
"OED","account.t.d.8","Only high-income countries are covered.",
"OED","fing2p.40.t.d","Only high-income countries are covered.",
"OED","fin32.t.a.6","Only high-income countries are covered.",
"OED","fin36.t.a.s","Only high-income countries are covered.",
"OED","fin37.t.a.5","Only high-income countries are covered.",
"OED","fin42.t.a.10","Only high-income countries are covered.",
"OED","fin14b.a.8","Only high-income countries are covered.",
"OED","fin42.t.a.2","Only high-income countries are covered.",
"OED","fin1.t.a.1","Only high-income countries are covered.",
"OED","fin2.t.a.5","Only high-income countries are covered.",
"OED","fin26.t.a.5","Only high-income countries are covered.",
"OED","fin27.29c1.t.d.s","Only high-income countries are covered.",
"OED","fin11c.a","Only high-income countries are covered.",
"OED","fin19.t.a.11","Only high-income countries are covered.",
"OED","fin23.t.d.2","Only high-income countries are covered.",
"OED","fin25a.t.a.s.9","Only high-income countries are covered.",
"OED","fin25d.a.s.11","Only high-income countries are covered.",
"OED","fin38.a.11","Only high-income countries are covered.",
"OED","fin28.t.a","Only high-income countries are covered.",
"OED","fin15.t.a.1","Only high-income countries are covered.",
"OED","fin2.t.a.10","Only high-income countries are covered.",
"OED","fin22a.t.a","Only high-income countries are covered.",
"OED","fin39a.t.d.s","Only high-income countries are covered.",
"OED","fin25f.a.s.7","Only high-income countries are covered.",
"OED","fin26.28.t.a.10","Only high-income countries are covered.",
"OED","fing2p.t.d.1","Only high-income countries are covered.",
"OED","g20.t.made.9","Only high-income countries are covered.",
"OED","fin14cb.a.s","Only high-income countries are covered.",
"OED","fin24b.t.a.11","Only high-income countries are covered.",
"OED","fin34c2.t.a.s","Only high-income countries are covered.",
"OED","fin11e.a.s","Only high-income countries are covered.",
"OED","fin14a.a.1","Only high-income countries are covered.",
"OED","fin17a.t.a.6","Only high-income countries are covered.",
"OED","fin22a.t.d.9","Only high-income countries are covered.",
"OED","fin47a.t.s","Only high-income countries are covered.",
"OED","fin65e.11.a.4","Only high-income countries are covered.",
"OED","fin21.t.a.3","Only high-income countries are covered.",
"OED","fin27a.t.d","Only high-income countries are covered.",
"OED","fin7.t.a.8","Only high-income countries are covered.",
"OED","fin23.t.d.9","Only high-income countries are covered.",
"OED","fin16.t.a.10","Only high-income countries are covered.",
"OED","fin17b.t.a.8","Only high-income countries are covered.",
"OED","fin34an.t.a.s","Only high-income countries are covered.",
"OED","fin38.a.1","Only high-income countries are covered.",
"OED","g20.t.receive.11","Only high-income countries are covered.",
"OED","fin22a.t.a.3","Only high-income countries are covered.",
"OED","fin24b.t.a.5","Only high-income countries are covered.",
"OED","fin30.t.a.4","Only high-income countries are covered.",
"OED","fin14b.a","Only high-income countries are covered.",
"OED","fin22a.14.a.2","Only high-income countries are covered.",
"OED","fin41.t.d.s","Only high-income countries are covered.",
"OED","fin25b.t.a.s.1","Only high-income countries are covered.",
"OED","fin2.t.a.1","Only high-income countries are covered.",
"OED","fin22b.t.a","Only high-income countries are covered.",
"OED","fin25c.a.s","Only high-income countries are covered.",
"OED","fin28.t.a.3","Only high-income countries are covered.",
"OED","fin33.14.a.8","Only high-income countries are covered.",
"OED","fin34b.14.a","Only high-income countries are covered.",
"OED","account.t.d.5","Only high-income countries are covered.",
"OED","fin14abca.t.d.4","Only high-income countries are covered.",
"OED","fin17a.t.a.3","Only high-income countries are covered.",
"OED","fin25c.a.s.5","Only high-income countries are covered.",
"OED","fin22b.t.a.2","Only high-income countries are covered.",
"OED","fin24b.t.a.10","Only high-income countries are covered.",
"OED","fin20b.t.a.3","Only high-income countries are covered.",
"OED","fin20b.t.a.9","Only high-income countries are covered.",
"OED","fin21b.t.14.a.8","Only high-income countries are covered.",
"OED","fin26.28.t.a.9","Only high-income countries are covered.",
"OED","fin33n.t.a.6","Only high-income countries are covered.",
"OED","fing2p.t.d.4","Only high-income countries are covered.",
"OED","mobileaccount.t.d.3","Only high-income countries are covered.",
"OED","fin17c.14.a.11","Only high-income countries are covered.",
"OED","fin17c.14.a.7","Only high-income countries are covered.",
"OED","fin25e.a.s.9","Only high-income countries are covered.",
"OED","g20.t.receive.1","Only high-income countries are covered.",
"OED","fin45.d.s","Only high-income countries are covered.",
"OED","fin14a.a","Only high-income countries are covered.",
"OED","fin17b.t.a","Only high-income countries are covered.",
"OED","fin2.t.a.7","Only high-income countries are covered.",
"OED","fin32.t.a.3","Only high-income countries are covered.",
"OED","fin37.t.a.4","Only high-income countries are covered.",
